+-----+---------------+-----------+
|     | Technologies  | Frequency |
| 84  | cloud_foundry |     1     |
| 85  |    sklearn    |     1     |
| 86  |    logdna     |     1     |
| 87  |    qdrant     |     1     |
| 88  |      css      |     1     |
| 89  |     azuer     |     1     |
| 90  |    openfec    |     1     |
| 91  |  contentful   |     1     |
| 92  |  shibboleth   |     1     |
| 93  |     swift     |     1     |
| 94  |     rust      |     1     |
| 95  |    nuclio     |     1     |
| 96  |    matlab     |     1     |
| 97  |  salesforce   |     1     |
| 98  |   telegram    |     1     |
| 99  |    orthanc    |     1     |
| 100 |      f#       |     1     |
| 101 |    cayley     |     1     |
| 102 |   streamlit   |     1     |
| 103 |     fred      |     1     |
| 104 |      xml      |     1     |
| 105 |     rails     |     1     |
| 106 |    pgadmin    |     1     |
| 107 |      es       |     1     |
| 108 |    express    |     1     |
| 109 |    livekit    |     1     |
| 110 |   vertexai    |     1     |
| 111 |    cosmos     |     1     |
| 112 |      pio      |     1     |
| 113 |   cloud_run   |     1     |
| 114 |   confluent   |     1     |
| 115 |    gradle     |     1     |
| 116 |     jsoup     |     1     |
| 117 | sigma_designs |     1     |
| 118 |      zmq      |     1     |
| 119 |   kakaomap    |     1     |
| 120 |    kaggle     |     1     |
| 121 |   chainlit    |     1     |
| 122 |     iris      |     1     |
| 123 |    presto     |     1     |
| 124 |     bosh      |     1     |
| 125 |   circleci    |     1     |
| 126 |      ovs      |     1     |
| 127 |   node-red    |     1     |
| 128 |    pulumi     |     1     |
| 129 |   thymeleaf   |     1     |
| 130 |    gitlab     |     1     |
| 131 |   ali_cloud   |     1     |
| 132 |     jira      |     1     |
| 133 |   openstack   |     1     |
| 134 |    fluentd    |     1     |
| 135 |      php      |     1     |
| 136 |      bsn      |     1     |
| 137 |     skype     |     1     |
| 138 |    dgraph     |     1     |
| 139 |    dotnet     |     1     |
| 140 |   oraclize    |     1     |
| 141 |     auth0     |     1     |
| 142 |    tekton     |     1     |
| 143 |   keycloak    |     1     |
| 144 |   icefiredb   |     1     |
| 145 |   electron    |     1     |
| 146 |    matomo     |     1     |
| 147 |    lucene     |     1     |
| 148 |   pagerduty   |     1     |
| 149 |  cloudinary   |     1     |
| 150 |    hasura     |     1     |
| 151 |   firebase    |     1     |
| 152 |     geth      |     1     |
| 153 |  lighthouse   |     1     |
| 154 |    darknet    |     1     |
| 155 |   megengine   |     1     |
| 156 |    oneflow    |     1     |
| 157 |   snowplow    |     1     |
| 158 |    airbyte    |     1     |
| 159 |    blazor     |     1     |
| 160 |  cloudfront   |     1     |
| 161 | digitalocean  |     1     |
| 162 |    mariadb    |     1     |
| 163 |   aeternity   |     1     |
| 164 |     ipfs      |     1     |
| 165 |   openresty   |     1     |
| 166 |     druid     |     1     |
| 167 |    flutter    |     1     |
| 168 |    pulltop    |     1     |
| 169 |    postman    |     1     |
| 170 |    mlflow     |     1     |
| 171 |    graphxr    |     1     |
| 172 |    nextjs     |     1     |
| 173 |    onfleet    |     1     |
| 174 |  websocketd   |     1     |
| 175 |     cuda      |     1     |
| 176 |    eureka     |     1     |
| 177 |    zipkin     |     1     |
| 178 |   snowflake   |     1     |
| 179 |     unity     |     1     |
| 180 |    red_hat    |     1     |
| 181 |    butles     |     1     |
| 182 |  cockroachdb  |     1     |
| 183 |  cypress.io   |     1     |
| 184 |    kinesis    |     1     |
| 185 |   redshift    |     1     |
| 186 |    polygon    |     1     |
| 187 |    synapse    |     1     |
| 188 |      qt       |     1     |
| 189 |    jaeger     |     1     |
| 190 |     swir      |     1     |
| 191 |    bastion    |     1     |
| 192 |   simphera    |     1     |
| 193 |   composer    |     1     |
| 194 |     dart      |     1     |
| 195 |    rocksdb    |     1     |
| 196 |  cloudflare   |     1     |
| 197 |  opensearch   |     1     |
| 198 |    web3js     |     1     |
| 199 |    a-frame    |     1     |
| 200 |    eclipse    |     1     |
| 201 |  polarismesh  |     1     |
| 202 |     nacos     |     1     |
| 203 |    consul     |     1     |
| 204 |     etcd      |     1     |
| 205 |  clickhouse   |     1     |
| 206 |    deploy     |     1     |
| 207 |     fauna     |     1     |
| 208 |     intel     |     1     |
| 209 |    openvr     |     1     |
| 210 |     mlir      |     1     |
+-----+---------------+-----------+
